set	lib_id	repscores_woX	G1_cells	IQR_filter	out_5_95_rep	Man_filter
d0	CBMS1_ESC_single_25perS_39	0.209038215272629	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_35	0.210388035569927	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_24	0.216877210712481	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_26	0.224051828856796	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_30	0.224891490865045	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_27	0.231585349371537	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_42	0.235444916683532	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_33	0.237838566230966	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_47	0.248835865538221	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_22	0.254350465398624	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_31	0.255142645174344	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_40	0.256858779912369	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_16	0.269261880687563	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_34	0.269694723364108	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_25	0.27014377588471	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_20	0.29195751138088	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_37	0.29289492301991	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_18	0.293278953754887	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_19	0.298785425101215	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_46	0.306351183063512	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_41	0.310670793244971	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_14	0.313159580565764	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_17	0.325760635433495	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_38	0.359100397279644	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_32	0.359665959524531	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_21	0.371337042657225	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_43	0.398378632938644	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_36	0.463245440644463	NA	1	NA	NA
d0	CBMS1_ESC_single_75perS_37	0.502797021450006	NA	NA	NA	1
d0	CBMS1_ESC_single_75perS_38	0.613965789654462	NA	1	NA	NA
d0	CBMS1_ESC_single_75perS_24	0.667554087753589	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_23	0.67983536317938	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_30	0.687409502643365	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_21	0.691533891439373	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_32	0.6929091399299	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_20	0.708199817856781	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_31	0.708250446744664	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_29	0.718841555817478	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_27	0.7397431143175	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_22	0.747097340353719	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_11	0.757155800140935	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_16	0.757209835733801	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_33	0.766353566979766	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_39	0.769706446797925	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_34	0.775677951827522	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_26	0.778099828114994	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_10	0.779724529066235	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_19	0.780701458845726	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_28	0.782924031844555	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_13	0.784600850259802	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_35	0.786224317952172	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_06	0.800431790581568	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_07	0.800829875518672	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_09	0.804702543832979	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_08	0.806608520630661	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_14	0.822563791418074	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_12	0.827882146235978	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_17	0.830535949478234	NA	NA	NA	NA
